geoareaname,timeperiod,GDP_per_Capita_growth,country_name,year,WB_Population
Bermuda,2016,0.42276,Bermuda,2016,64554
Singapore,2016,0.41455,Singapore,2016,5607283
Kazakhstan,2016,0.4,Kazakhstan,2016,17794055
Switzerland,2016,0.38683,Switzerland,2016,8373338
San Marino,2016,0.26082,San Marino,2016,33503
Haiti,2016,0.16554,Haiti,2016,10839976
Greenland,2016,0.11544,Greenland,2016,56186
Greece,2016,0.05971,Greece,2016,10775971
Norway,2016,0.03609,Norway,2016,5234519
Armenia,2016,-0.08032,Armenia,2016,2936147
Comoros,2016,-0.13495,Comoros,2016,795597
Tunisia,2016,-0.14777,Tunisia,2016,11303942
Jamaica,2016,-0.2,Jamaica,2016,2906242
Russian Federation,2016,-0.2781,Russian Federation,2016,144342397
Lithuania,2016,-0.3,Lithuania,2016,2868231
Guam,2016,-0.3,Guam,2016,162948
Somalia,2016,-0.33703,Somalia,2016,14185635
Aruba,2016,-0.66913,Aruba,2016,104865
Mongolia,2016,-0.73139,Mongolia,2016,3056358
Malawi,2016,-0.8,Malawi,2016,17205253
Cuba,2016,-0.98771,Cuba,2016,11335108
Uganda,2016,-0.9894,Uganda,2016,39649173
Brazil,2016,-1,Brazil,2016,206163056
South Africa,2016,-1.01713,South Africa,2016,56207649
Mauritania,2016,-1.10618,Mauritania,2016,4163532
Namibia,2016,-1.12591,Namibia,2016,2358044
Jordan,2016,-1.19482,Jordan,2016,9554286
Qatar,2016,-1.28781,Qatar,2016,2654379
Saudi Arabia,2016,-1.3,Saudi Arabia,2016,32443443
Hungary,2016,-1.4,Hungary,2016,9814023
British Virgin Islands,2016,-1.45212,British Virgin Islands,2016,29355
Denmark,2016,-1.5,Denmark,2016,5728010
Sub-Saharan Africa,2016,-1.57488,Sub-Saharan Africa,2016,1022530245
Lebanon,2016,-1.60943,Lebanon,2016,6714281
Barbados,2016,-1.7,Barbados,2016,285798
Eswatini,2016,-1.79912,Eswatini,2016,1113994
Syrian Arab Republic,2016,-1.80384,Syrian Arab Republic,2016,17465567
Zimbabwe,2016,-1.9,Zimbabwe,2016,14030338
Sao Tome and Principe,2016,-2.0638,Sao Tome and Principe,2016,203221
Nepal,2016,-2.1,Nepal,2016,27263430
Oman,2016,-2.18282,Oman,2016,4479217
Puerto Rico,2016,-2.45145,Puerto Rico,2016,3406672
Belarus,2016,-2.58202,Belarus,2016,9469379
Trinidad and Tobago,2016,-2.61704,Trinidad and Tobago,2016,1377563
Belize,2016,-2.67098,Belize,2016,368399
Liberia,2016,-2.96284,Liberia,2016,4586788
Angola,2016,-3,Angola,2016,28842482
Argentina,2016,-3.25557,Argentina,2016,43590368
Ecuador,2016,-3.60506,Ecuador,2016,16491116
Brunei Darussalam,2016,-3.76845,Brunei Darussalam,2016,419791
Burundi,2016,-3.8,Burundi,2016,10488002
Nigeria,2016,-4.16011,Nigeria,2016,185960244
Azerbaijan,2016,-4.9,Azerbaijan,2016,9757812
Suriname,2016,-6.01588,Suriname,2016,564883
Chad,2016,-6.36186,Chad,2016,14561658
Equatorial Guinea,2016,-12.36757,Equatorial Guinea,2016,1215181
South Sudan,2016,-17.5,South Sudan,2016,10832520
